Date,PercentOfBaseline,Country,AirportName,State
3/16/2020,97,United States of America (the),Boston Logan International ,Massachusetts
3/17/2020,94,United States of America (the),Boston Logan International ,Massachusetts
3/18/2020,93,United States of America (the),Boston Logan International ,Massachusetts
3/19/2020,80,United States of America (the),Boston Logan International ,Massachusetts
3/20/2020,89,United States of America (the),Boston Logan International ,Massachusetts
3/21/2020,90,United States of America (the),Boston Logan International ,Massachusetts
3/22/2020,89,United States of America (the),Boston Logan International ,Massachusetts
3/23/2020,78,United States of America (the),Boston Logan International ,Massachusetts
3/24/2020,79,United States of America (the),Boston Logan International ,Massachusetts
3/25/2020,82,United States of America (the),Boston Logan International ,Massachusetts
3/26/2020,76,United States of America (the),Boston Logan International ,Massachusetts
3/27/2020,72,United States of America (the),Boston Logan International ,Massachusetts
3/28/2020,70,United States of America (the),Boston Logan International ,Massachusetts
3/29/2020,68,United States of America (the),Boston Logan International ,Massachusetts
3/30/2020,63,United States of America (the),Boston Logan International ,Massachusetts
3/31/2020,71,United States of America (the),Boston Logan International ,Massachusetts
4/1/2020,66,United States of America (the),Boston Logan International ,Massachusetts
4/2/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/3/2020,56,United States of America (the),Boston Logan International ,Massachusetts
4/4/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/5/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/6/2020,66,United States of America (the),Boston Logan International ,Massachusetts
4/7/2020,62,United States of America (the),Boston Logan International ,Massachusetts
4/8/2020,65,United States of America (the),Boston Logan International ,Massachusetts
4/9/2020,53,United States of America (the),Boston Logan International ,Massachusetts
4/10/2020,57,United States of America (the),Boston Logan International ,Massachusetts
4/11/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/12/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/13/2020,59,United States of America (the),Boston Logan International ,Massachusetts
4/14/2020,62,United States of America (the),Boston Logan International ,Massachusetts
4/15/2020,59,United States of America (the),Boston Logan International ,Massachusetts
4/16/2020,53,United States of America (the),Boston Logan International ,Massachusetts
4/17/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/18/2020,61,United States of America (the),Boston Logan International ,Massachusetts
4/19/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/20/2020,48,United States of America (the),Boston Logan International ,Massachusetts
4/21/2020,60,United States of America (the),Boston Logan International ,Massachusetts
4/22/2020,65,United States of America (the),Boston Logan International ,Massachusetts
4/23/2020,56,United States of America (the),Boston Logan International ,Massachusetts
4/24/2020,54,United States of America (the),Boston Logan International ,Massachusetts
4/25/2020,65,United States of America (the),Boston Logan International ,Massachusetts
4/26/2020,64,United States of America (the),Boston Logan International ,Massachusetts
4/27/2020,56,United States of America (the),Boston Logan International ,Massachusetts
4/28/2020,63,United States of America (the),Boston Logan International ,Massachusetts
4/29/2020,62,United States of America (the),Boston Logan International ,Massachusetts
4/30/2020,56,United States of America (the),Boston Logan International ,Massachusetts
5/1/2020,59,United States of America (the),Boston Logan International ,Massachusetts
5/2/2020,66,United States of America (the),Boston Logan International ,Massachusetts
5/3/2020,53,United States of America (the),Boston Logan International ,Massachusetts
5/4/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/5/2020,57,United States of America (the),Boston Logan International ,Massachusetts
5/6/2020,60,United States of America (the),Boston Logan International ,Massachusetts
5/7/2020,58,United States of America (the),Boston Logan International ,Massachusetts
5/8/2020,63,United States of America (the),Boston Logan International ,Massachusetts
5/9/2020,56,United States of America (the),Boston Logan International ,Massachusetts
